timestamp,text
1346.5,既然有这个机关，就说明这种事情的发生在过去相当常见了
1753.984,“我本可以忍受黑暗，如果我未曾见过光明”
80.571,《睡过头发现迟到的你》
688.595,《卡住铅的自动铅笔》
639.219,有没有一种可能，把小兄弟的手给砍断了也是一样的（）
998.201,得叫《灭世》了
842.6,李火旺直呼内行
833.947,注意，这个和“主角”合体的寄生兽才是刚才我们操纵的，注意它手上有装置而且有一样的枪
650.494,伊建山联没啦/doge
1116.856,那个我看过设定集 主角这个生物是没有 皮肤 这个设定的
1640.038,很难想象游戏作者是在怎样的精神状态下做这个游戏的
861.635,《赛博朋克2077》 Bgm自己脑补
1795.534,注:这个寄生兽是上一个死掉的男主变的所以才会有两张脸，其中一张就是主角的脸
1805.092,非常担心制作组的精神状况！！
436.214,这是被“分化”的“人”，相当于“工人”。
1678.462,这里可能是通过疼痛而刺激脑神经，让意识不会一下子就断开吧
325.17,暗示无需三连（doge）
1096.203,这里大出血和惨叫可能寓意的母亲难产
1433.492,哇，好帅「除了头以外」
777.395,也有可能是意识转移了，不是一个躯体但是同一个人
537.49,这里有办法让他活下来，他会跟着你去开门。最后卡在操作台留下他一个人
822.923,这里仔细看，这个“蜥蜴”的双手能看见那个操作钥匙
697.871,杰洛特叶奈法点了个赞
1779.414,这剧情要是谁看懂了   真的可以去考研了…
1295.914,手臂需要在机器里清除藤蔓侵蚀，这里up没讲
173.801,刺客信条：异形
368.45,这和看鸡蛋坏没坏一个方法哈哈
1734.481,这里换视角应该是寄生兽把脑线给搞断了
16.982,这游戏我小学看过预告片，没想到现在才发布
1529.881,我也想到火子哥了，主要是痛苦和主角无视痛苦
905.982,血的供养（bushi）
873.214,卧槽，说实话有点帅的啊
707.915,正是你想的那种东西
496.85,《孵   化》
933.137,走……的不是很到位
599.419,可恶！还甜蜜的挺可爱的！！！
902.212,这个是原始意识和自我意识的冲突
1514.196,这里剪掉了一段不能播的
1300.481,这个是“眼睛”，后面主角意识进入到这俩的时候，“看东西”靠的就是这“花”
1128.756,帅是帅，但我不想要
1665.383,原来主角嘴已经被封上了，怪不得喊不出来
133.324,冷知识：复合材料也是有机物
1071.478,这里也是对生命的蔑视
104.866,问：摔死了几个杰洛特？
1264.371,懂了，其实就是我们一直幻想的器官模块化
238.312,人话：卡关了
330.617,就是没有三连（doge）
227.419,说白了完全不知道要干嘛，懵逼的很
1255.051,妈妈，我近视了
154.379,蛙，主角好多腹肌（doge
108.26,这个游戏对与喜欢生物与科技的人来说简直就是梦中情游
